id	US-1421005	US-1421094	US-1421095	US-1420999	US-1421000	US-1421010	US-1421096	US-1421097	US-1421098	US-1421001	US-1421002	US-1421004
ENSG00000223972	4.53E-10	0	1.166200042	2.155699968	0	0	0	0	0	2.57E-36	0	0
ENSG00000227232	0.002	0.0002	4.617300034	2.35E-09	6.627399921	8.692799568	2.96E-15	5.951900005	2.915199995	1.17E-19	1.232800007	1.45E-23
ENSG00000278267	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274890	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	34.30590057	15.13539982	29.95639992	40.84500122	30.41930008	46.27510071	23.79339981	11.92319965	12.38360023	34.17839813	25.40449905	32.39149857
ENSG00000239945	0.0031	7.009500027	4.242199898	2.462500095	0.96329999	2.38E-13	1.85E-11	9.080599785	1.997200012	3.82E-17	8.537400246	7.913499832
ENSG00000233750	0	0	0	0	2	0	0	0	0	2	2	0
ENSG00000268903	2.437000036	2.513099909	7.879700184	16.30179977	11.99030018	0	1.06E-41	11.20540047	1.675199986	1.482900023	7.234000206	2.817800045
ENSG00000269981	0	0	0	0	2.77E-13	0	0	0	0	0	0	0
ENSG00000239906	0.522400022	4.33E-15	1.764099956	0	0	0	1.03E-11	0	2.98E-12	0.437599987	1.88E-30	0
ENSG00000241860	40.91880035	10.36779976	19.24600029	44.73730087	31.30999947	60.2806015	16.63470078	17.84989929	27.65500069	11.15620041	46.1371994	28.8784008
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275135	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	1.90199995	3.991300106	2.441200018	1.45510006	1.416499972	11.05500031	1.167199969	2.565799952	2.348799944	4.143700123	3.545300007	1.336400032
ENSG00000241670	2.93E-26	0	1.42E-34	0	2.962100029	0	2.20E-17	0	4.72E-36	0	2.120199919	2.326400042
ENSG00000236679	0	0	1	0	0	2.183000088	0	2	0	0	0	1
ENSG00000236743	0	0	0.158899993	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	21.45339966	15.47729969	12.39640045	13.28009987	35.10329819	9.059200287	10.23149967	14.54339981	4.664199829	16.19580078	20.25329971	19.11490059
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566	1.487200022	0.173299998	1.5	0.617799997	2.247999907	4.81E-40	7.10E-15	0	2.5	2	4.95E-26	3.77E-15
ENSG00000224813	0	0	1.98E-23	0	0	0.078699999	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	2.25E-24	0
ENSG00000250575	7.463600159	2.365799904	0.693599999	0.678300023	2.993400097	0	7.920899868	1.91E-27	1.83E-20	3.5704	1.942399979	5.27E-34
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709	0	0	0	0	0	8.16E-16	0	0	0.885200024	0	0	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239664	1	0	0	0	0	0	0	0	0	0	0.5	0
ENSG00000230021	5.815700054	1.987200022	3.138299942	16.11770058	7.567800045	9.376199722	2.852600098	3.85890007	7.036699772	12.31509972	15.76099968	15.45930004
ENSG00000223659	0	0	0	0	0	0	0	0	0	0	0.730099976	0.073200002
ENSG00000225972	135	59	70	89	104	134	74	33	56	98	128	102
ENSG00000225630	805	297	312	587	767	975	548	373	492	1075	1188	1223
ENSG00000276171	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000237973	21746.99805	14592.99902	19687	17836	18687.99805	22026.99609	15378.99902	11667	13812.99902	20229	21942.99805	22241
ENSG00000278791	3	0	0	0	1	2	0	0	0	0	2	2
ENSG00000229344	363.9916992	284.9894104	471.9870911	405.9614868	387.968811	317.8384094	278	194	227	474.9395142	465.8806152	430
ENSG00000240409	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000248527	1399	638	671	1012	1101	1347	1020	718	961	1455	1558	1611
ENSG00000198744	2015	2121	3641	1314	1270	1531	1230	933	1350	1361	1479	1444
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273547	1.487200022	0.173299998	1.5	0.617799997	2.247999907	4.81E-40	7.10E-15	0	2.5	2	4.95E-26	3.77E-15
ENSG00000229376	0	0	0	0	0	3.45E-27	0	0	0	0	0	0
ENSG00000224956	12.79419994	7.121099949	1.126299977	7.61590004	7.016300201	16	10.60340023	5.305099964	9.653499603	12.06669998	5.84070015	10.61320019
ENSG00000235373	26.64139938	15.19089985	37.26819992	33.2840004	64.26550293	58.40779877	29.67000008	9.581100464	22.90909958	57.40750122	42.83319855	67.521698
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240618	3.508899927	2.938699961	3.590899944	0.672999978	4.02E-33	12.4684	1.832599998	1.351400018	1.533499956	0.0451	10.08759975	2.588900089
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327	12.85960007	11.32269955	10.62080002	21.39360046	16.55389977	37.9701004	14.7493	10.33710003	18.02490044	14.68929958	9.938400269	31.46689987
ENSG00000237491	10.83180046	2.688199997	9.218600273	7	10.28600025	19.16290092	5.085100174	1	3.388099909	9.096400261	18.60659981	16.46310043
ENSG00000230092	1.023200035	1.569499969	0	0	2	2	3.217299938	2	2	3.064399958	6.117300034	3.069099903
ENSG00000240453	1	1	3	0	1	1	1	1	0	0	1	2
ENSG00000177757	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225880	3.440700054	4	2	5.707099915	6	6	1.744400024	9.408200264	3	6.13929987	5	3.832600117
ENSG00000228794	252	207	300	127	154	153	179	165	189	182	206	193
ENSG00000230368	4.097000122	6.551499844	7.396500111	7.521299839	6.875999928	15.3593998	1.316200018	3.4927001	9.241800308	13.58640003	5.366799831	8.969900131
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230699	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000187634	0	0	0	0	0	0	0	0	0	1	2	0
