id	vehicle_DMSO	vehicle_DMSO	vehicle_DMSO	vehicle_DMSO	vehicle_DMSO	vehicle_DMSO	clarithromycin	clarithromycin	clarithromycin	clarithromycin	clarithromycin	clarithromycin
ENSG00000231683	3.00385	3.04284	2.95564	3.11592	3.08833	3.26498	2.68191	2.70825	2.60352	2.69127	2.69904	2.63252
ENSG00000167996	6.68311	6.55931	6.42368	6.82635	6.68122	6.89289	6.79461	6.86552	6.89519	7.16538	7.21433	7.22466
ENSG00000171819	2.0836	2.48775	2.31289	2.61909	2.10919	2.50909	1.65932	1.89023	1.87569	1.51519	1.86518	1.84291
ENSG00000198417	3.45208	3.42921	3.48082	3.65894	3.99388	4.23096	2.83112	2.60793	3.18266	3.33157	3.30362	3.24611
ENSG00000157087	2.49743	2.28546	2.41866	2.55105	2.47016	2.64519	2.41305	2.16028	2.13095	2.01311	2.07147	1.82155
ENSG00000149212	3.08035	3.13865	3.15085	3.33389	3.39586	3.64423	2.79054	2.74456	2.74776	2.9478	2.90916	2.97303
ENSG00000256612	3.28273	2.92468	3.0829	2.80283	3.0643	2.88362	3.60257	3.37168	3.26808	3.5701	3.47655	3.64973
ENSG00000140416	4.79773	4.75751	4.68906	5.13108	5.06101	5.34153	4.62082	4.6698	4.61374	4.75575	4.82108	4.80061
ENSG00000136044	2.60352	2.40969	2.52609	2.38381	2.72632	2.78466	2.37664	2.14248	2.12567	1.99521	2.35479	2.26536
ENSG00000141504	3.81437	3.63385	3.73114	3.26185	3.32119	3.21382	4.19716	4.12675	4.13129	3.85816	4.06088	4.07929
ENSG00000163347	4.59227	4.61531	4.57515	4.78761	4.80274	4.94137	4.39393	4.43572	4.51862	4.66597	4.6698	4.67873
ENSG00000166483	3.01547	3.15974	3.10005	3.14074	3.20048	3.48173	2.62905	2.85081	2.7979	2.90375	3.05089	3.16575
ENSG00000139926	1.98234	2.39906	2.36006	1.93297	1.87994	2.214	2.1586	1.7793	1.99625	1.75022	1.62107	1.94425
ENSG00000244122	2.45669	2.30421	2.18687	2.57575	2.31611	2.3617	2.79388	2.75412	2.41235	2.65347	2.91625	2.92823
ENSG00000254235	3.0048	2.87159	2.91374	2.74538	2.72594	2.53028	2.98061	3.1363	2.87622	2.95482	3.17033	3.08254
ENSG00000166340	3.47996	3.34625	3.04391	3.31243	3.20129	3.1668	3.50887	3.56757	3.55195	3.56115	3.47698	3.44656
ENSG00000188211	1.61614	1.54579	1.55534	1.7231	1.82049	1.52023	1.79493	1.8635	1.8605	2.18649	2.21831	2.1911
ENSG00000269858	2.2407	2.65286	2.62657	2.65134	2.61969	2.42751	2.93069	2.76462	2.64904	2.81025	2.68584	2.79114
